// 2020/12/13 Go 1.16 tip MacBook Pro(M1: Apple silicon)

4600000 goroutines are created
  1: 5.273051292s
  2: 4.825934417s
  3: 4.868348125s
  4: 4.807851875s
  5: 4.932342167s
  6: 4.978154416s
  7: 4.854305292s
  8: 4.604089708s
  9: 4.878956875s
 10: 4.974003291s
 11: 5.03111475s
 12: 4.964551416s
 13: 4.835331s
 14: 4.913108083s
 15: 4.968168s
 16: 5.013221833s
 17: 4.965849084s
 18: 5.126599792s
 19: 4.805057041s
 20: 6.093127125s
 21: 6.966379584s
 22: 5.264144208s
 23: 4.935015666s
 24: 4.914546083s
 25: 4.96772575s
 26: 4.88316s
 27: 4.931267958s
 28: 4.965072792s
 29: 4.821639875s
 30: 4.999353333s
 31: 5.059781167s
 32: 4.926143583s
 33: 4.957088416s
 34: 5.01851475s
 35: 4.944146791s
 36: 5.022213708s
 37: 4.887088916s
 38: 5.151145917s
 39: 5.175737875s
 40: 5.363006959s
 41: 5.430560167s
 42: 4.739899708s
 43: 4.910756083s
 44: 4.85080675s
 45: 7.790725375s
 46: 5.1150465s
 47: 4.638799291s
 48: 5.042954s
 49: 4.717324s
 50: 4.833816167s
 51: 4.914312834s
 52: 4.762401s
 53: 4.807009333s
 54: 4.807152416s
 55: 4.835011166s
 56: 4.885266875s
 57: 4.94504575s
 58: 4.895120791s
 59: 5.086358417s
 60: 4.917769542s
 61: 4.7803405s
 62: 4.940442542s
 63: 4.897642334s
 64: 4.938211917s
 65: 4.785784917s
 66: 4.871728459s
 67: 4.855136125s
 68: 4.792072083s
 69: 5.049202334s
 70: 5.211467416s
 71: 5.620979667s
 72: 4.643820459s
 73: 4.715120458s
 74: 4.71731825s
 75: 4.756613875s
 76: 4.87273875s
 77: 4.884013375s
 78: 4.75234975s
 79: 4.995692875s
 80: 4.933144708s
 81: 4.895410833s
 82: 5.044719s
 83: 4.839332208s
 84: 4.900286458s
 85: 4.697595625s
 86: 4.764858416s
 87: 4.954065292s
 88: 4.760888125s
 89: 4.892350625s
 90: 4.801624292s
 91: 4.799002541s
 92: 4.761818s
 93: 4.5715755s
 94: 4.874149958s
 95: 4.881803s
 96: 5.956422958s
 97: 6.45944925s
 98: 4.866374209s
 99: 4.933275542s
100: 4.995594792s
average round trip time = 5004568924 nano seconds
average switching time = 1087 nano seconds
elapsed time for sending 100 values ... 17754721041 nano seconds
